F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20
-0.6513761467889908,-0.6605504587155964,-1.1926605504587156,-1.779816513761468,-1.3577981651376148,-0.7614678899082569,-1.1009174311926606,-1.3944954128440368,-1.073394495412844,-1.5504587155963303,-1.110091743119266,-0.8990825688073395,-0.8348623853211009,-1.4862385321100915,-1.4954128440366972,-0.4311926605504587,-0.5963302752293578,-2.385321100917431,-1.1376146788990826,-1.146788990825688
-0.4185022026431718,-1.1541850220264318,-1.1277533039647578,-1.5726872246696035,-1.722466960352423,-0.788546255506608,-1.1145374449339207,-1.3876651982378854,-1.2158590308370043,-1.0969162995594717,-1.105726872246696,-1.0044052863436124,-0.748898678414097,-1.4801762114537445,-1.5462555066079295,-0.4889867841409692,-0.3656387665198238,-2.3480176211453743,-1.013215859030837,-0.8149779735682819
-0.430379746835443,-0.7088607594936709,-1.0506329113924051,-1.620253164556962,-1.0759493670886076,-0.7088607594936709,-1.0506329113924051,-1.6329113924050631,-1.4936708860759491,-0.8734177215189873,-0.759493670886076,-0.6582278481012658,-0.3037974683544304,-1.5949367088607596,-1.759493670886076,-0.4810126582278481,-0.4683544303797468,-2.632911392405063,-1.5696202531645569,-0.6835443037974683
0.176056338028169,-0.5492957746478874,-1.1549295774647887,-1.1056338028169015,-1.7464788732394363,-0.7887323943661971,-0.852112676056338,-1.3380281690140845,-0.8450704225352113,-0.8732394366197183,-0.6408450704225352,-1.119718309859155,-0.7605633802816901,-1.3309859154929575,-1.1549295774647887,-0.4225352112676056,-0.2816901408450704,-1.8309859154929573,-1.1549295774647887,-0.3380281690140845
-1.0542168674698795,-1.2409638554216869,-0.7228915662650602,-1.144578313253012,-2.253012048192771,-0.927710843373494,-0.7951807228915663,-1.6325301204819278,-1.2469879518072289,-1.1746987951807228,-1.3855421686746987,-0.8795180722891566,-0.9518072289156626,-1.2048192771084338,-1.7228915662650603,-0.7048192771084337,-0.7048192771084337,-2.2349397590361444,-0.963855421686747,-1.120481927710843
-0.5804066543438078,-1.354898336414048,-1.0850277264325323,-1.5138632162661738,-1.922365988909427,-0.8502772643253235,-1.1053604436229203,-1.7744916820702403,-1.388170055452865,-1.1072088724584104,-1.1035120147874309,-1.1035120147874309,-0.7042513863216266,-1.388170055452865,-1.6839186691312384,-0.5341959334565619,-0.3123844731977819,-2.476894639556377,-1.088724584103512,-0.8872458410351202
0.1452991452991453,-1.2034188034188034,-1.2324786324786323,-1.7076923076923076,-1.4478632478632478,-0.9230769230769232,-1.294017094017094,-0.6358974358974359,-1.558974358974359,-0.1606837606837607,-0.1196581196581196,-1.2,-0.0735042735042735,-0.2393162393162393,-1.0341880341880345,-0.0649572649572649,-0.2547008547008547,-1.2102564102564102,-0.6786324786324787,-0.2307692307692307
-0.8157894736842105,-0.5,-0.2894736842105263,-1.118421052631579,-2.289473684210526,-0.2236842105263158,-0.1447368421052631,-1.763157894736842,-1.0,-1.25,-1.2763157894736843,0.0394736842105263,-0.6052631578947368,-1.394736842105263,-1.75,-0.3421052631578947,-0.5921052631578947,-2.4473684210526314,-1.105263157894737,-0.9736842105263158
-0.1725417439703154,-0.8293135435992579,-0.8719851576994434,-1.1447124304267162,-1.8051948051948048,-0.4638218923933209,-0.5807050092764379,-1.217068645640074,-1.12430426716141,-0.935064935064935,-0.8719851576994434,-0.7012987012987013,-0.5510204081632653,-1.562152133580705,-1.339517625231911,-0.2170686456400742,-0.3098330241187384,-2.4285714285714284,-1.2782931354359923,-0.6512059369202227
-0.6016260162601627,-0.8699186991869918,-0.1219512195121951,-0.7886178861788617,-1.983739837398374,-0.4471544715447154,-0.4878048780487805,-0.991869918699187,-0.7804878048780488,-1.5528455284552845,-1.5853658536585369,-0.6666666666666666,-1.016260162601626,-1.5853658536585369,-1.6178861788617886,0.073170731707317,-0.1869918699186991,-2.252032520325203,-1.0975609756097562,-1.170731707317073
-0.6535626535626535,-0.992014742014742,-0.3961916461916462,-0.7297297297297297,-2.0147420147420148,-0.5644963144963145,-0.4097051597051597,-1.378992628992629,-1.1326781326781328,-1.2371007371007372,-1.278869778869779,-0.6941031941031941,-0.8617936117936118,-1.5706388206388209,-1.5872235872235871,-0.2315724815724815,-0.4754299754299754,-2.378992628992629,-1.269041769041769,-0.9312039312039312
-0.65,-1.6142857142857143,-1.5857142857142856,-2.3642857142857143,-1.5214285714285714,-1.1785714285714286,-1.6357142857142857,-2.0142857142857142,-1.5285714285714285,-0.1714285714285714,-0.3071428571428571,-1.4285714285714286,-0.1285714285714285,-0.6714285714285714,-1.8928571428571428,-0.7928571428571428,-0.6428571428571429,-1.8285714285714283,-0.6214285714285714,-0.2285714285714285
-0.631578947368421,-1.5394736842105263,-0.9078947368421052,-1.3026315789473684,-0.8026315789473685,-0.7105263157894737,-1.0657894736842106,-1.6973684210526316,-1.2894736842105263,-1.0789473684210529,-1.0394736842105263,-1.0921052631578947,-0.8026315789473685,-1.605263157894737,-1.736842105263158,-0.5526315789473685,-0.5394736842105263,-2.6052631578947367,-1.4078947368421053,-0.868421052631579
-0.5093833780160858,-1.158176943699732,-0.710455764075067,-1.0884718498659518,-1.9436997319034848,-0.67828418230563,-0.7587131367292225,-1.388739946380697,-1.0911528150134049,-1.0563002680965148,-1.0884718498659518,-0.8659517426273459,-0.7774798927613941,-1.420911528150134,-1.249329758713137,-0.292225201072386,-0.3860589812332439,-2.278820375335121,-1.061662198391421,-0.7667560321715817
-1.5694444444444444,-2.6666666666666665,-1.6666666666666667,-2.208333333333333,-1.1666666666666667,-2.583333333333333,-2.430555555555556,-1.5277777777777777,-2.5694444444444446,-1.75,-1.8472222222222223,-1.5972222222222223,-1.7916666666666667,-1.9166666666666667,-3.3472222222222223,-1.2916666666666667,-1.7916666666666667,-2.388888888888889,-0.9027777777777778,-1.7777777777777777
-0.0689655172413793,-1.4029038112522687,-1.355716878402904,-1.852994555353902,-1.4519056261343013,-1.029038112522686,-1.5535390199637025,-0.7912885662431942,-1.5607985480943738,-0.219600725952813,-0.0998185117967332,-1.3647912885662432,-0.1506352087114337,-0.3121597096188748,-1.1833030852994555,-0.2976406533575317,-0.3756805807622504,-1.32486388384755,-0.7731397459165155,-0.2123411978221415
-0.8571428571428571,-0.7619047619047619,-0.6190476190476191,-1.0357142857142858,-2.1547619047619047,-0.5,-0.3095238095238095,-2.095238095238096,-1.1785714285714286,-0.7023809523809523,-0.7857142857142857,-0.3809523809523809,-0.4761904761904761,-1.511904761904762,-1.7261904761904765,-0.5952380952380952,-0.7976190476190477,-2.619047619047619,-1.1547619047619049,-0.5595238095238095
-0.35,-0.7,-0.9571428571428572,-1.1642857142857144,-1.9357142857142853,-0.3928571428571428,-0.4928571428571429,-1.5642857142857145,-0.9857142857142858,-1.0571428571428572,-1.05,-0.6214285714285714,-0.7642857142857142,-1.4857142857142858,-1.5857142857142856,-0.4142857142857143,-0.5642857142857143,-2.2785714285714285,-1.1857142857142855,-0.8571428571428571
-0.6886792452830188,-0.7028301886792453,-0.981132075471698,-0.9481132075471698,-1.7264150943396226,-0.6415094339622641,-0.6981132075471698,-1.509433962264151,-1.2358490566037736,-0.7169811320754716,-1.009433962264151,-0.4339622641509434,-0.9669811320754716,-1.5330188679245282,-1.5424528301886793,-0.4669811320754717,-0.410377358490566,-2.6839622641509435,-1.5377358490566038,-0.7924528301886793
-1.5333333333333334,-2.333333333333333,-1.4111111111111112,-1.8666666666666667,-1.477777777777778,-2.333333333333333,-1.988888888888889,-1.511111111111111,-2.1222222222222222,-1.788888888888889,-1.9777777777777776,-1.2333333333333334,-1.8333333333333333,-1.8666666666666667,-2.4444444444444446,-1.1888888888888889,-1.5,-2.2555555555555555,-1.0,-1.7222222222222223
-0.7117117117117117,-0.9346846846846848,-0.670045045045045,-1.0382882882882882,-1.542792792792793,-0.5382882882882883,-0.7150900900900901,-1.4876126126126126,-0.9132882882882885,-1.3141891891891893,-1.268018018018018,-0.652027027027027,-0.9572072072072072,-1.4132882882882882,-1.097972972972973,-0.3795045045045045,-0.4650900900900901,-2.206081081081081,-1.0202702702702702,-1.1283783783783785
-0.9183976261127595,-1.1216617210682494,-0.0370919881305637,-1.086053412462908,-2.615727002967359,-0.7863501483679525,-1.0786350148367954,-1.3961424332344214,-1.459940652818991,-0.814540059347181,-1.1186943620178045,-1.1172106824925816,-1.238872403560831,-1.0816023738872405,-1.4510385756676558,-0.2551928783382789,-0.1068249258160237,-2.402077151335312,-0.744807121661721,-1.026706231454006
-0.6643835616438356,-1.1095890410958904,-0.6986301369863014,-0.9246575342465754,-2.0136986301369864,-0.5616438356164384,-0.6301369863013698,-1.2328767123287672,-1.3972602739726028,-1.2602739726027397,-1.2123287671232876,-0.7465753424657534,-0.7602739726027398,-1.6849315068493151,-1.3630136986301369,-0.4726027397260274,-0.541095890410959,-2.3219178082191783,-1.3767123287671232,-0.8767123287671232
-0.1678804139517056,-0.6236105787658106,-0.879072441548486,-0.8415101571483327,-1.5747412801839786,-0.3779225756995017,-0.54829436565734,-1.174396320429283,-0.7999233422767343,-0.7889996167113836,-0.6502491376006133,-0.8014564967420468,-0.6092372556535071,-1.2044844768110388,-0.87121502491376,-0.1439248754311997,-0.2244154848600996,-1.957071674971253,-1.1602146416251438,-0.5306630893062476
-0.5047619047619047,-0.8476190476190476,-0.9666666666666668,-1.4142857142857144,-1.4619047619047618,-0.3666666666666666,-0.7095238095238096,-1.7333333333333334,-1.042857142857143,-0.8857142857142857,-0.7952380952380952,-0.6666666666666666,-0.5619047619047619,-1.1666666666666667,-1.542857142857143,-0.4238095238095238,-0.2666666666666666,-1.8904761904761904,-0.8333333333333334,-0.5666666666666667
-0.188034188034188,-1.4444444444444444,-1.0,-1.4786324786324787,-0.4017094017094017,-0.7948717948717948,-1.1025641025641026,-1.1794871794871795,-1.5042735042735045,-1.5982905982905984,-1.5299145299145298,-0.9658119658119658,-1.1452991452991452,-2.1880341880341883,-1.6752136752136753,-0.1367521367521367,-0.2991452991452991,-2.8803418803418803,-1.9059829059829057,-1.205128205128205
0.1627906976744186,-0.2906976744186046,-1.0116279069767442,-0.872093023255814,-1.7906976744186047,-0.3604651162790697,-0.4069767441860465,-1.3953488372093024,-1.1046511627906976,-0.8953488372093024,-0.7674418604651163,-0.5232558139534884,-0.6162790697674418,-1.7790697674418603,-1.2906976744186047,-0.3372093023255814,-0.1744186046511628,-2.5232558139534884,-1.5348837209302326,-0.5930232558139535
-0.4791666666666667,-1.0,-1.1041666666666667,-1.3333333333333333,-0.0833333333333333,-1.0833333333333333,-0.9791666666666666,-1.3958333333333333,-1.6875,-1.6875,-1.6041666666666667,-0.5208333333333334,-1.25,-1.9791666666666667,-1.375,-0.375,-0.5,-2.6875,-1.6666666666666667,-1.25
